instance,seed,igd
3,0,0.4256492341063117
3,1,0.3656838400450338
3,2,0.505835572069334
3,3,0.23943112484785908
3,4,0.42963533648663704
3,5,0.3545961542576703
3,6,0.4561260061788013
3,7,0.5079602230171097
3,8,0.5227880438230914
3,9,0.41289734808585554
3,10,0.5707669536130285
3,11,0.3410339889739989
3,12,0.3789490558431706
3,13,0.429715244489075
3,14,0.4563970261280638
3,15,0.46715032990378025
3,16,0.47234127948306825
3,17,0.2926611398231145
3,18,0.4881360685465336
3,19,0.29797684302636096
3,20,0.434260332049867
