instance,seed,solution_id,cost,tw_violation
3,0,0,47076.07780585154,88.65478466754854
3,0,1,47062.46271239508,89.06039358064172
3,0,2,46898.01912055856,96.88513450849709
3,0,3,47128.509743550065,88.54956946246287
3,0,4,47017.34813440717,89.87278929762451
3,0,5,46911.5360379105,96.82626919265033
3,0,6,46834.38585293021,102.40448592867506
3,0,7,46913.163240550566,96.76744329938461
3,0,8,46870.871590222676,101.3110308061598
3,0,9,46837.01411507389,102.33497599081952
3,0,10,46837.265096328156,102.32692884198002
3,0,11,46837.44214321164,102.1625222733825
3,0,12,47315.821905327066,88.05751850721691
3,0,13,47380.711858678376,87.66813221247395
3,0,14,46844.84692677104,101.57120944621795
3,0,15,46958.594891456974,90.62403260968924
3,0,16,46931.596714896725,96.4169692632868
3,0,17,46933.70902448049,93.29827493278387
3,0,18,47374.13625305415,87.67337782968062
3,0,19,47328.504510808925,87.86958352328796
3,0,20,47329.312218422005,87.83541901288771
3,0,21,47329.86011715427,87.82406284593918
3,0,22,47364.532073870956,87.67745101969066
3,0,23,47331.033829076645,87.80352926800308
3,0,24,47358.34561003355,87.72889341132282
3,0,25,47362.78354532995,87.68025123041897
3,0,26,47358.85504963993,87.71477746649549
3,0,27,47361.86907804292,87.71109905030016
3,0,28,47339.32290987836,87.75698500165512
3,1,0,48213.02144793811,75.87254809437249
3,1,1,47357.48384686682,78.67073540672169
3,1,2,46602.827833405536,91.66320253035651
3,1,3,46767.63851409496,88.95865484500612
3,1,4,46606.372010410545,91.41273686757195
3,1,5,47368.11675561716,76.94368477629996
3,1,6,46759.04740639825,89.55876689919468
3,1,7,46759.04740639825,89.55876689919468
3,1,8,47477.64213222849,75.87713474526919
3,1,9,46617.14147310018,90.79423399410254
3,1,10,46991.43937797038,82.38850081546622
3,1,11,47116.07645656437,81.39889187252963
3,1,12,47392.440534759386,75.9687032669718
3,1,13,46638.15046137688,90.52038643948161
3,1,14,46681.6302201201,89.95988267669671
3,1,15,47435.86020127091,75.88956223915392
3,1,16,47404.10540704397,75.91165933604779
3,2,0,49294.91781168061,91.89919866667708
3,2,1,48012.62147126316,102.6490114750917
3,2,2,48081.11505287212,102.52512944313008
3,2,3,48101.79256739993,102.15819087210832
3,2,4,48149.21878087938,101.72329706349052
3,2,5,48411.62227308161,97.87741215129086
3,2,6,48438.297673294415,92.62545691710469
3,2,7,48730.077241868625,91.95734618727758
3,2,8,48730.077241868625,91.95734618727758
3,2,9,48210.07392159324,101.15131097215797
3,2,10,48429.598082496675,93.41071261410053
3,2,11,48622.59762461393,92.15689784117339
3,2,12,48603.22164358141,92.16188202159407
3,2,13,48292.8225930802,100.05584254492157
3,2,14,48305.00009563357,99.07994345963817
3,3,0,41040.92390944995,88.90514359535652
3,3,1,41047.53904304319,87.98392366053346
3,3,2,40997.25945877713,96.21331060072
3,3,3,41442.161196149,84.52279453243631
3,3,4,46595.94878269157,78.80726737913119
3,3,5,41413.44559742356,84.6218379149679
3,3,6,41403.34945206129,84.69062577089707
3,3,7,46246.56997577832,80.0837281248727
3,3,8,46253.38525404447,80.02757597694107
3,3,9,41392.51527983828,84.70123548519751
3,3,10,46362.88318492727,79.27684076724287
3,3,11,46362.570542844885,79.37490953622682
3,3,12,46264.887378034044,79.99211503559054
3,3,13,41366.400851496364,84.7120088787187
3,3,14,46267.29066242549,79.96306261077771
3,3,15,46270.70740185304,79.946986070284
3,3,16,41359.046736103235,84.72404662080561
3,3,17,46292.51416897708,79.60704342572802
3,3,18,41339.900582640636,84.75844865059506
3,3,19,41344.55641061026,84.72794804349971
3,3,20,41306.12590218795,85.02226028089801
3,3,21,46313.0560265689,79.45166092779965
3,3,22,46324.42443546155,79.39753840520044
3,3,23,41296.79421253603,85.06429076310079
3,3,24,41299.31160991359,85.05288312404718
3,4,0,46685.19390075404,83.38080904881714
3,4,1,46697.72118385913,81.9635334066257
3,4,2,46721.08503467478,81.5051264643957
3,4,3,46714.78543277006,81.62538080465502
3,4,4,46903.80289986257,80.7888822509808
3,4,5,46909.570979587865,80.72067244530258
3,4,6,46744.28687423806,81.2703942614987
3,4,7,46754.31330209402,80.88764011010323
3,4,8,46770.72559491936,80.83304889632417
3,5,0,46793.279977411294,80.26616508052672
3,5,1,46810.1551451712,76.26570635759997
3,5,2,47145.2339700323,74.98778027942188
3,5,3,46688.90645398851,88.24452691739343
3,5,4,47080.70397808515,75.6531267219305
3,5,5,46694.22063646415,88.24359094802223
3,5,6,46694.791930301006,86.48930375769594
3,5,7,46694.924201059475,86.29761044905295
3,5,8,47213.05665353484,70.63086268009704
3,5,9,47174.9563756616,71.28556006333906
3,5,10,47125.20477810954,75.27062028584893
3,5,11,47087.81031994048,75.44519943031102
3,5,12,46702.56735981666,82.52184357870159
3,5,13,47112.65377091746,75.37392095177611
3,5,14,47106.65978516516,75.38560066920422
3,6,0,47638.17687614806,90.44878497962875
3,6,1,47686.09718644284,90.06066324468648
3,6,2,46798.28499751275,96.6157861560227
3,6,3,47796.769455848946,89.88150600694149
3,6,4,46813.31264547725,96.44313973385175
3,6,5,47194.60452369534,93.58396599698744
3,6,6,46818.92491556878,95.81148428617419
3,6,7,46873.74590858165,94.99627925151165
3,6,8,47291.145976609274,90.57216146640792
3,6,9,46843.23366333783,95.73803466732502
3,6,10,46854.253000850586,95.11938659909774
3,6,11,47275.44373612643,91.20101039191258
3,6,12,47229.24632510598,92.47524247010017
3,6,13,47249.50800205914,92.13671928824704
3,6,14,47257.359632626234,91.7143176345366
3,6,15,47255.254728644235,91.98552904998897
3,7,0,46952.37700733095,99.23768994306619
3,7,1,46966.11213613671,98.19368838480386
3,7,2,46970.4482238823,98.03772341914726
3,7,3,46980.975811193835,97.98080311389779
3,7,4,46995.299253322315,97.8696571002616
3,7,5,47105.239478928685,96.87291609881245
3,7,6,47013.44935684215,97.72352942664904
3,7,7,47023.46592903536,97.13355838487757
3,7,8,47032.50566432053,96.88879137938935
3,7,9,47023.06596972133,97.3504157307151
3,8,0,46752.750831391815,123.91695497198782
3,8,1,47592.31669189353,105.59287051161104
3,8,2,47122.43424357627,116.86997069883203
3,8,3,48392.98333421095,100.62984994046843
3,8,4,48110.22795689303,100.84900431623453
3,8,5,47173.67245305113,111.78882155826648
3,8,6,47773.32093015753,101.87335680524569
3,8,7,47186.22206584351,111.20782938793019
3,8,8,47400.055162179895,105.6780077079109
3,8,9,46881.93956799951,123.0418763037305
3,8,10,47197.20037589112,108.82255654647861
3,8,11,47219.31918859547,107.20096669896765
3,8,12,47222.912048505685,107.03912367184648
3,8,13,47235.3720227459,106.09938134232092
3,9,0,46406.81345739445,64.25933238470586
3,9,1,46255.68681784939,64.47527679495914
