instance,seed,solution_id,cost,tw_violation
4,0,0,54123.9511015536,90.60010751526514
4,0,1,54419.422187696815,89.42934450626078
4,0,2,53179.71015203108,95.15533004127556
4,0,3,53186.6432868515,94.72897168771664
4,0,4,53196.09091771635,94.6792144345523
4,0,5,53516.28795254743,91.93170078975322
4,0,6,53239.37134719307,93.8144325738987
4,0,7,53480.46314399692,92.57038763728727
4,0,8,53385.660661300935,93.2858891659231
4,0,9,53229.601632658625,94.52860721695691
4,0,10,53749.47220386759,90.97697205511608
4,0,11,53593.77741781644,91.87868322419092
4,0,12,53873.96432725214,90.66094074735133
4,0,13,53301.49046118801,93.6383757347177
4,0,14,53619.93837010383,91.70870293232232
4,0,15,53689.4508812362,91.35497390733298
4,1,0,58443.887110899894,80.6610111932464
4,1,1,52728.9358780729,81.09321962637702
4,1,2,52567.558344781784,90.70642576749148
4,1,3,52696.96026953134,81.20963621698488
4,1,4,52583.72480674934,89.41079858756237
4,1,5,52619.210325314285,81.51009579080298
4,1,6,52623.90369738911,81.44754433154358
4,1,7,52596.014613297695,89.2141564500916
4,1,8,52640.8544650163,81.41554494357783
4,1,9,52598.49279173076,88.9804090893164
4,1,10,52602.28621598585,88.94377834955165
4,1,11,52643.088899672286,81.40356949999804
4,1,12,52610.26178236773,88.83324140322739
4,1,13,52649.82041278655,81.34368611144637
4,2,0,51985.780363082784,90.0387538444973
4,2,1,59082.9147251602,80.67012348244714
4,2,2,59107.62601568298,79.38049730905125
4,2,3,59125.59729370387,78.12902796380257
4,2,4,52351.687218867584,83.59493966508782
4,2,5,52487.85146646798,81.07247599184578
4,2,6,52059.95330179266,89.75663993033822
4,2,7,52068.4860426326,89.3157253639515
4,2,8,59228.795736990614,77.23608294969856
4,2,9,59201.94343540104,77.94421458841182
4,2,10,52095.61422891763,87.09721698840194
4,2,11,52449.9127678433,81.20039192890832
4,2,12,52448.051442749274,82.0250121799225
4,2,13,52401.59080348884,82.48116597421352
4,3,0,58217.52983832748,104.27294058045047
4,3,1,53034.98539600088,124.02935556841719
4,3,2,53234.215438481115,112.69366633683353
4,3,3,52771.66039202982,131.33276262517597
4,3,4,58603.121781379705,103.41523433854218
4,3,5,58809.24588073102,101.39398449219183
4,3,6,53706.65654608664,105.10833263513214
4,3,7,52789.62112382295,131.0511050389444
4,3,8,53691.44060830635,107.60815336048768
4,3,9,53260.04912456807,109.95706366080373
4,3,10,58630.21013207472,103.01381873000537
4,3,11,53680.260353520935,107.72299822130944
4,3,12,58760.599348970434,101.8139253099234
4,3,13,52801.49561540232,131.01875906179905
4,3,14,53431.47862991039,107.9469096433373
4,3,15,58705.56981860314,102.30665300211149
4,3,16,52806.96587351413,125.21452562648291
4,3,17,58696.26446919965,102.83355793671151
4,3,18,52914.7144567111,124.03970525012728
4,3,19,52815.30699019562,124.23571950010546
4,3,20,52870.34338032468,124.20372046049472
4,3,21,53374.46611696511,108.83182978104179
4,3,22,53334.90340761659,109.26014386936487
4,4,0,53287.911122738326,90.44167033121956
4,4,1,59226.83404564086,82.00565429123559
4,4,2,59281.427799961166,80.74447008402412
4,4,3,58853.70798917269,83.89873796091481
4,4,4,58857.90051245432,83.87189212137956
4,4,5,58805.73809208583,83.97993819035474
4,4,6,58615.23037898715,86.20858936358368
4,4,7,52785.31114321543,93.17568140240965
4,4,8,58895.54930048329,83.59203799062088
4,4,9,52781.8710737352,93.18988581424519
4,4,10,58647.01034097756,84.53042793314431
4,4,11,58780.37695197724,84.04645323249305
4,4,12,58650.49133969769,84.34413040586678
4,4,13,58759.88837728131,84.129660420977
4,4,14,58727.13514067088,84.17059876568476
4,4,15,52641.90957072851,95.99680038057686
4,4,16,52646.67473495582,95.29200108888128
4,4,17,52674.109487830116,93.43655058093763
4,4,18,58705.06724947342,84.2617275297627
4,4,19,58709.42800452147,84.2182874741341
4,4,20,58680.507184765585,84.28278629119374
4,5,0,52488.46302736449,81.76942832709759
4,5,1,52912.7789827683,78.88238254669272
4,5,2,52490.908940584784,81.55358016280178
4,5,3,52915.650436322576,78.79331187897395
4,5,4,52998.24957355823,78.47055390514407
4,5,5,52497.86857669909,80.77412925778077
4,5,6,52499.913252271406,80.64063852394472
4,5,7,52926.33098759585,78.74845473288423
4,5,8,52509.908300635645,80.48065701417255
4,5,9,52563.11015365852,80.07488480888676
4,5,10,52518.73456727562,80.4105221738399
4,5,11,52949.49027248783,78.5310763686353
4,5,12,52935.52026078719,78.672319141054
4,5,13,52942.17422904563,78.59691739874216
4,6,0,46070.80258785251,77.85488538030636
4,6,1,46074.23400154032,71.90064788848373
4,6,2,46075.63488520116,71.74771917487085
4,6,3,46154.01365771775,61.47183602693542
4,6,4,46476.57852475524,61.10865724284503
4,6,5,46480.27902476357,60.62140136776014
4,6,6,46096.19313339237,71.03424006788359
4,6,7,46648.07836048217,56.68569779058143
4,6,8,46097.591503606265,67.10739961239713
4,6,9,46126.18443726658,66.0629493323343
4,6,10,46634.658540212695,56.78616469450165
4,6,11,46584.63438621105,56.95952328357836
4,6,12,46624.13070969353,56.80031546175786
4,6,13,46545.45805899898,56.96228960601894
4,6,14,46535.514675548664,58.25463137860112
4,6,15,46528.56145852007,58.371021960322935
4,6,16,46512.03434693391,60.2055687943307
4,6,17,46512.329868478846,58.72924940256999
4,7,0,52139.02846784691,80.19816146081715
4,7,1,51738.28465836307,85.72626515049014
4,7,2,51746.91302274324,85.67182265173243
4,7,3,51869.94847684898,81.78777688482569
4,7,4,52165.448385360214,80.08673617100254
4,7,5,52167.39484027814,79.27954997548548
4,7,6,51757.807884416194,83.01887247194321
4,7,7,51851.425069374374,82.10616761689337
4,7,8,51821.97128097055,82.28176355264412
4,7,9,51846.71863808712,82.1231723998636
4,7,10,51837.506329411175,82.16096694548371
4,7,11,52197.69926795918,79.22964111097858
4,7,12,51791.07414300268,82.50812638556444
4,7,13,52207.10609353331,79.02801567132028
4,7,14,52221.22437909922,78.87418676476662
4,8,0,52567.48399888727,65.98912526871125
4,8,1,52569.14090448493,65.96373464807074
4,8,2,52576.890453355045,65.94707263793357
4,8,3,52591.81588708521,65.69953577010595
4,8,4,52596.3879793067,65.09514573074799
4,8,5,52592.78205223027,65.67994554580252
4,8,6,52608.09181265421,65.05132969088578
4,8,7,52579.21804313471,65.93560748416003
4,8,8,52582.87325562432,65.72116566293705
4,8,9,52590.31097222745,65.71350958733368
4,8,10,52582.518330784114,65.92474387054702
4,8,11,52582.41968018367,65.93426797536497
4,8,12,52600.69909072212,65.07759494458566
4,8,13,52606.23558187118,65.07697510415436
4,9,0,51986.000489795435,93.30377562400882
4,9,1,51986.152707892754,93.28140630457213
4,9,2,52059.62719421202,82.30710660302884
