instance,seed,igd
4,0,0.649262627156715
4,1,0.5141361564051533
4,2,0.5012896291977644
4,3,0.8612440714007793
4,4,0.5959930340336742
4,5,0.5082556388489095
4,6,0.20367111164115212
4,7,0.49012126824321556
4,8,0.4196475339884809
4,9,0.4183322680455477
4,10,0.6337665080289395
4,11,0.43631936599207555
4,12,0.7442412352550751
4,13,0.34979772742297444
4,14,0.4869271487277692
4,15,0.32278580787936906
4,16,0.39379239852066567
4,17,0.5846607952583481
4,18,0.48090306864515436
4,19,0.4913816395743267
4,20,0.4881486179550364
