instance,seed,igd
4,0,1.8254915021421947
4,1,1.5875600920634638
4,2,1.5282487125843711
4,3,2.082056145145377
4,4,1.7430747117011336
4,5,1.5600268316920658
4,6,0.3949148420331009
4,7,1.4590755341941208
4,8,1.5249751405211893
4,9,1.4578915876377319
4,10,1.757502968923915
4,11,0.973807147316873
4,12,2.638362309422699
4,13,1.4509828474030932
4,14,0.6285462658105944
4,15,1.4569080259297058
4,16,1.0191795018183827
4,17,2.5821967436418416
4,18,1.7143356186711318
4,19,0.8588177551992426
4,20,0.8292987311367969
