instance,seed,igd
2,0,0.404452530467088
2,1,0.33157955623116864
2,2,0.314442850547664
2,3,0.3354230446174632
2,4,0.3091464819152254
2,5,0.3782068572260021
2,6,0.40388972591998373
2,7,0.33562609391591847
2,8,0.3969806605959295
2,9,0.2990462025592866
2,10,0.30499870130866785
2,11,0.3045246963078317
2,12,0.23404942608287527
2,13,0.24880922447566403
2,14,0.2432365083833689
2,15,0.3209106382982675
2,16,0.33723272979412866
2,17,0.2816637077909737
2,18,0.3081547156570644
2,19,0.33884164584830684
2,20,0.2682315069792448
