instance,seed,solution_id,cost,tw_violation
2,0,0,32785.89353880044,274.028040130548
2,0,1,32028.989415784545,292.5302309725628
2,0,2,32029.87871586724,292.4861117938462
2,0,3,32031.62093509576,292.48033386074553
2,0,4,32035.923191108555,292.3675632225726
2,0,5,32043.058877517902,292.2855558869826
2,0,6,32043.567883338856,291.0889099194186
2,0,7,32044.48930834228,287.26593276599465
2,0,8,32486.21103525275,274.089063299793
2,0,9,32075.08715703572,284.0643426869268
2,0,10,32479.60600603774,274.15317439573334
2,0,11,32060.707994569748,287.1305690478688
2,0,12,32478.978452750853,274.18778745521064
2,0,13,32478.823554115494,274.2046392324096
2,0,14,32071.127329318166,284.0975348639937
2,0,15,32070.847196319814,284.1054696106064
2,0,16,32069.51942524912,284.5684615717939
2,0,17,32067.42625223125,284.57431953507086
2,0,18,32063.737953334057,285.9989729668175
2,0,19,32474.430331438456,274.2056903556882
2,0,20,32469.259282998566,274.2206997975913
2,0,21,32433.79079365508,278.11499611980906
2,0,22,32466.97681727157,274.6955277211662
2,0,23,32460.942902976163,275.0133912558607
2,0,24,32466.01885344928,274.70621520602367
2,0,25,32437.789559943714,278.0730412398338
2,0,26,32437.63135615434,278.0957596801725
2,0,27,32445.00671826135,277.10535864132254
2,0,28,32452.32245648643,275.7408155873386
2,0,29,32442.89194652855,277.24765711808243
2,0,30,32448.555857800802,276.6492866607884
2,1,0,33170.09009801767,258.80374289542686
2,1,1,32986.06888016821,265.5723678483203
2,1,2,33146.12347899844,258.9907510090279
2,1,3,33044.56616896603,260.89021301104964
2,1,4,32408.295484954124,283.98275434304225
2,1,5,33132.33813723129,259.19456721308944
2,1,6,32415.63566849673,283.8524066389842
2,1,7,32821.92168792921,266.4797795355154
2,1,8,32785.40876931668,267.6868368748942
2,1,9,32759.902811315886,269.3053958050355
2,1,10,32756.849922627287,269.4694276314763
2,1,11,32420.55605031667,283.8145183149473
2,1,12,32744.003022169694,269.87516717870125
2,1,13,32758.971598155335,269.3351120117608
2,1,14,33093.482847681735,260.2669310351406
2,1,15,32775.33786782234,268.88566267797256
2,1,16,32642.559409128422,272.19478343651235
2,1,17,32452.002611571777,282.8710550112092
2,1,18,32457.6893948739,281.0518726417495
2,1,19,32426.48291195067,283.7413480107482
2,1,20,32641.167884803795,272.69483302518813
2,1,21,32600.856902167878,274.3169450558552
2,1,22,32604.13478960735,274.3098418626463
2,1,23,32607.611721886224,274.09605762903186
2,1,24,32619.304307448114,273.27918702812474
2,1,25,32615.73121474594,274.0242884993438
2,1,26,32682.60903121404,270.6034050823217
2,1,27,32682.60903121404,270.6034050823217
2,1,28,32670.11361574769,271.234973175678
2,1,29,32670.79677733895,271.17871313078706
2,1,30,32672.063126388755,271.1283962938127
2,1,31,32673.1566083192,271.1232554644087
2,1,32,32673.76948876667,271.06952752032845
2,1,33,32677.2444465299,270.94283030764586
2,1,34,32675.58817610849,271.0618083500256
2,2,0,32058.80807857257,300.77545659843383
2,2,1,33441.79861869705,262.2782851389811
2,2,2,32852.805730946966,273.2096592750868
2,2,3,33032.91918268049,268.56500393320306
2,2,4,33029.35946416601,268.7710143847155
2,2,5,32730.61107614323,278.27486614871214
2,2,6,32730.61107614323,278.27486614871214
2,2,7,32732.265255783306,277.3463694028127
2,2,8,32990.71448811379,268.8462055013776
2,2,9,33009.286758301474,268.820704702974
2,2,10,33009.286758301474,268.820704702974
2,2,11,32559.982622665608,281.03691560407105
2,2,12,32776.01368232744,274.5327499684006
2,2,13,32775.63675296526,274.94782780369985
2,2,14,32773.99402083497,275.03922879861284
2,2,15,32473.10826148474,288.6967091706614
2,2,16,32912.91408444058,272.9237064102629
2,2,17,32474.151359651725,285.8358073180464
2,2,18,32595.953946300648,280.9681064130683
2,2,19,32527.732733258155,281.2155406481053
2,2,20,32916.94033735264,271.38635939446465
2,2,21,32525.80301890886,281.26769937610925
2,2,22,32525.80301890886,281.26769937610925
2,2,23,32759.596076751954,275.7121791165357
2,2,24,32952.51772906361,269.09701972850837
2,2,25,32604.292353925124,280.6650046312049
2,2,26,32749.845271102957,277.13296152590533
2,2,27,32938.46020752633,269.62032241036536
2,2,28,32501.524299105666,282.25248723115385
2,2,29,32749.222661336345,277.34153384029827
2,2,30,32938.05271275716,271.13001283798144
2,2,31,32933.28933849509,271.22930329869143
2,2,32,32520.71548685191,281.3921592451764
2,2,33,32509.768227358265,281.7248638656307
2,2,34,33084.96349212353,264.25880337239386
2,2,35,33088.02549975991,262.36919457483253
2,2,36,33091.39718943879,262.3270510493736
2,2,37,33091.521480480435,262.31884956154005
2,2,38,33091.87243977559,262.31695969037247
2,2,39,33092.491038282256,262.2874078466731
2,2,40,33096.146126115884,262.27906908673845
2,3,0,33501.48216624315,267.8683734158181
2,3,1,33907.77345430222,263.4827154770461
2,3,2,33637.48095667933,267.67392346554465
2,3,3,33686.049873554075,265.13703534327624
2,3,4,33421.01855552805,267.9255950359579
2,3,5,33418.50549165883,268.06866329628866
