instance,seed,igd
2,0,0.287515920269061
2,1,0.3129568425486993
2,2,0.287374943569939
2,3,0.603812156643705
2,4,0.26738670075043647
2,5,0.272475599737402
2,6,0.2674996868421631
2,7,0.7646142911358701
2,8,0.3468483526698141
2,9,0.21457403145410245
2,10,0.21940095724045544
2,11,0.5009967676697967
2,12,0.30727439765604103
2,13,0.30551549641472137
2,14,0.3711091108003752
2,15,0.35023090905720095
2,16,0.3055403431114373
2,17,0.10102445772169782
2,18,0.26800861031529943
2,19,0.3212120630495273
2,20,0.3238282741357655
