instance,seed,igd
6,0,0.7917207077164921
6,1,0.8329899490173049
6,2,0.6631735622053626
6,3,1.1361259745705043
6,4,0.9524726006589226
6,5,1.218560229018228
6,6,1.0591637958123927
6,7,1.3810164923996309
6,8,1.1635921748423814
6,9,0.9747673617537516
6,10,0.912781494557629
6,11,0.7589479304252138
6,12,0.7201947856600243
6,13,0.6326139207155517
6,14,1.2619490726850366
6,15,0.9743291875828942
6,16,1.0133368440805832
6,17,0.633381527700828
6,18,1.4419728927729998
6,19,0.6784443124697292
6,20,0.8474286001659781
