instance,seed,igd
6,0,1.3148466057822972
6,1,1.0866646539134504
6,2,0.6401211103479746
6,3,1.5095950754986973
6,4,1.5924761007999135
6,5,1.3115221968457813
6,6,0.6297194786361664
6,7,0.5689696777154221
6,8,0.31152605619778145
6,9,0.2580585789194738
6,10,0.9103755418356199
6,11,1.3599480656160836
6,12,0.894928736199679
6,13,0.5752495425811194
6,14,0.6131810552605699
6,15,0.42119674246544353
6,16,0.7053850209876259
6,17,1.0753624335603196
6,18,1.0493252691858124
6,19,1.2191061934600174
6,20,0.6723525307276174
