instance,seed,igd
1,0,0.6814614423928335
1,1,0.6136135903616902
1,2,1.1510906847157827
1,3,0.5227127303453959
1,4,0.347231144973709
1,5,0.6431956811699681
1,6,3.790759818045646
1,7,1.0685978027553589
1,8,0.439496207278136
1,9,0.6641043893587402
1,10,0.33720265308411873
1,11,0.674195952664393
1,12,0.18524945460356781
1,13,0.49063428487930044
1,14,0.49431620555644634
1,15,0.35463999719437334
1,16,0.5144552245284737
1,17,0.7550705749045443
1,18,0.42502952244779935
1,19,0.8200635561681492
1,20,0.27055435710742687
