instance,seed,igd
1,0,0.8525620276355534
1,1,0.8838268798056463
1,2,0.9881609167941253
1,3,0.930736144822656
1,4,0.9166407745131238
1,5,0.9080998547816723
1,6,1.2093009438924318
1,7,1.0364878434524214
1,8,0.9140943899129842
1,9,0.8809470338543125
1,10,0.9105737802698615
1,11,1.0423159948683045
1,12,0.9145001169045077
1,13,1.052668148619903
1,14,0.9296322980709901
1,15,0.8943077215950449
1,16,0.8656904187925731
1,17,0.8524469772817458
1,18,1.0761066573980727
1,19,0.9812100582594485
1,20,1.0281280052313204
