seed=4, UAV=1, MCV=6, Best objective (cost, TW violation): [57924.41910079, 120.93377365973241]
seed=4, UAV=1, MCV=7, Best objective (cost, TW violation): [51989.629259814945, 72.46166393147129]
seed=4, UAV=2, MCV=3, Best objective (cost, TW violation): [40879.60278324025, 111.06852481791717]
seed=4, UAV=2, MCV=4, Best objective (cost, TW violation): [46754.31330209402, 80.88764011010323]
seed=4, UAV=2, MCV=5, Best objective (cost, TW violation): [51990.98248258844, 98.98520136300745]
seed=4, UAV=2, MCV=6, Best objective (cost, TW violation): [57924.41910079, 120.93377365973241]
seed=4, UAV=2, MCV=7, Best objective (cost, TW violation): [51989.629259814945, 72.46166393147129]
seed=4, UAV=3, MCV=3, Best objective (cost, TW violation): [40879.60278324025, 111.06852481791717]
seed=4, UAV=3, MCV=4, Best objective (cost, TW violation): [46754.31330209402, 80.88764011010323]
seed=4, UAV=3, MCV=5, Best objective (cost, TW violation): [51990.98248258844, 98.98520136300745]
seed=4, UAV=3, MCV=6, Best objective (cost, TW violation): [57924.41910079, 120.93377365973241]
seed=4, UAV=3, MCV=7, Best objective (cost, TW violation): [51989.629259814945, 72.46166393147129]
seed=5, UAV=1, MCV=3, Best objective (cost, TW violation): [43194.942469865855, 109.91369578703473]
seed=5, UAV=1, MCV=4, Best objective (cost, TW violation): [46704.44481341024, 85.55529090755441]
seed=5, UAV=1, MCV=5, Best objective (cost, TW violation): [51969.48006143349, 102.30793655663774]
seed=5, UAV=1, MCV=6, Best objective (cost, TW violation): [52594.1990860059, 74.77078720721721]
seed=5, UAV=1, MCV=7, Best objective (cost, TW violation): [53225.792182911115, 69.69101126663827]
seed=5, UAV=2, MCV=3, Best objective (cost, TW violation): [43194.942469865855, 109.91369578703473]
seed=5, UAV=2, MCV=4, Best objective (cost, TW violation): [46704.44481341024, 85.55529090755441]
seed=5, UAV=2, MCV=5, Best objective (cost, TW violation): [51969.48006143349, 102.30793655663774]
seed=5, UAV=2, MCV=6, Best objective (cost, TW violation): [52594.1990860059, 74.77078720721721]
seed=5, UAV=2, MCV=7, Best objective (cost, TW violation): [53225.792182911115, 69.69101126663827]
seed=5, UAV=3, MCV=3, Best objective (cost, TW violation): [43194.942469865855, 109.91369578703473]
seed=5, UAV=3, MCV=4, Best objective (cost, TW violation): [46704.44481341024, 85.55529090755441]
seed=5, UAV=3, MCV=5, Best objective (cost, TW violation): [51969.48006143349, 102.30793655663774]
seed=5, UAV=3, MCV=6, Best objective (cost, TW violation): [52594.1990860059, 74.77078720721721]
seed=5, UAV=3, MCV=7, Best objective (cost, TW violation): [53225.792182911115, 69.69101126663827]
seed=6, UAV=1, MCV=3, Best objective (cost, TW violation): [47705.23619878171, 146.26087238713583]
seed=6, UAV=1, MCV=4, Best objective (cost, TW violation): [47297.03794576398, 84.71213220431153]
seed=6, UAV=1, MCV=5, Best objective (cost, TW violation): [40971.82346787649, 76.84389281480139]
seed=6, UAV=1, MCV=6, Best objective (cost, TW violation): [47220.694504082625, 76.01102586141889]
seed=6, UAV=1, MCV=7, Best objective (cost, TW violation): [51973.86656099123, 68.86454128008458]
seed=6, UAV=2, MCV=3, Best objective (cost, TW violation): [47705.23619878171, 146.26087238713583]
seed=6, UAV=2, MCV=4, Best objective (cost, TW violation): [47297.03794576398, 84.71213220431153]
seed=6, UAV=2, MCV=5, Best objective (cost, TW violation): [40971.82346787649, 76.84389281480139]
seed=6, UAV=2, MCV=6, Best objective (cost, TW violation): [47220.694504082625, 76.01102586141889]
seed=6, UAV=2, MCV=7, Best objective (cost, TW violation): [51973.86656099123, 68.86454128008458]
seed=6, UAV=3, MCV=3, Best objective (cost, TW violation): [47705.23619878171, 146.26087238713583]
seed=6, UAV=3, MCV=4, Best objective (cost, TW violation): [47297.03794576398, 84.71213220431153]
seed=6, UAV=3, MCV=5, Best objective (cost, TW violation): [40971.82346787649, 76.84389281480139]
seed=6, UAV=3, MCV=6, Best objective (cost, TW violation): [47220.694504082625, 76.01102586141889]
seed=6, UAV=3, MCV=7, Best objective (cost, TW violation): [51973.86656099123, 68.86454128008458]
seed=7, UAV=1, MCV=3, Best objective (cost, TW violation): [41358.330163757695, 104.72856546836908]
seed=7, UAV=1, MCV=4, Best objective (cost, TW violation): [47423.58041626909, 61.20786439990562]
seed=7, UAV=1, MCV=5, Best objective (cost, TW violation): [47211.44800027709, 86.19729261891123]
seed=7, UAV=1, MCV=6, Best objective (cost, TW violation): [52226.0050349385, 78.89250997638092]
seed=7, UAV=1, MCV=7, Best objective (cost, TW violation): [51953.339224138675, 73.15521188747778]
seed=7, UAV=2, MCV=3, Best objective (cost, TW violation): [41358.330163757695, 104.72856546836908]
seed=7, UAV=2, MCV=4, Best objective (cost, TW violation): [47423.58041626909, 61.20786439990562]
seed=7, UAV=2, MCV=5, Best objective (cost, TW violation): [47211.44800027709, 86.19729261891123]
seed=7, UAV=2, MCV=6, Best objective (cost, TW violation): [52226.0050349385, 78.89250997638092]
seed=7, UAV=2, MCV=7, Best objective (cost, TW violation): [51953.339224138675, 73.15521188747778]
seed=7, UAV=3, MCV=3, Best objective (cost, TW violation): [41358.330163757695, 104.72856546836908]
seed=7, UAV=3, MCV=4, Best objective (cost, TW violation): [47423.58041626909, 61.20786439990562]
seed=7, UAV=3, MCV=5, Best objective (cost, TW violation): [47211.44800027709, 86.19729261891123]
seed=7, UAV=3, MCV=6, Best objective (cost, TW violation): [52226.0050349385, 78.89250997638092]
seed=7, UAV=3, MCV=7, Best objective (cost, TW violation): [51953.339224138675, 73.15521188747778]
seed=8, UAV=1, MCV=3, Best objective (cost, TW violation): [40323.652887179844, 63.22169569519923]
seed=8, UAV=1, MCV=4, Best objective (cost, TW violation): [47546.02136888787, 97.65864445885815]
seed=8, UAV=1, MCV=5, Best objective (cost, TW violation): [40679.656987667186, 90.68281917062286]
seed=8, UAV=1, MCV=6, Best objective (cost, TW violation): [52587.16004681509, 65.05883080887064]
seed=8, UAV=1, MCV=7, Best objective (cost, TW violation): [59194.63402865236, 77.98483637575026]
seed=8, UAV=2, MCV=3, Best objective (cost, TW violation): [40323.652887179844, 63.22169569519923]
seed=8, UAV=2, MCV=4, Best objective (cost, TW violation): [47546.02136888787, 97.65864445885815]
seed=8, UAV=2, MCV=5, Best objective (cost, TW violation): [40679.656987667186, 90.68281917062286]
seed=8, UAV=2, MCV=6, Best objective (cost, TW violation): [52587.16004681509, 65.05883080887064]
seed=8, UAV=2, MCV=7, Best objective (cost, TW violation): [59194.63402865236, 77.98483637575026]
seed=8, UAV=3, MCV=3, Best objective (cost, TW violation): [40323.652887179844, 63.22169569519923]
seed=8, UAV=3, MCV=4, Best objective (cost, TW violation): [47546.02136888787, 97.65864445885815]
seed=8, UAV=3, MCV=5, Best objective (cost, TW violation): [40679.656987667186, 90.68281917062286]
seed=8, UAV=3, MCV=6, Best objective (cost, TW violation): [52587.16004681509, 65.05883080887064]
seed=8, UAV=3, MCV=7, Best objective (cost, TW violation): [59194.63402865236, 77.98483637575026]
seed=9, UAV=1, MCV=3, Best objective (cost, TW violation): [41599.43366012427, 82.48177366198004]
seed=9, UAV=1, MCV=4, Best objective (cost, TW violation): [45896.276763473, 68.05442021942636]
seed=9, UAV=1, MCV=5, Best objective (cost, TW violation): [47392.582855750064, 96.67537860319075]
seed=9, UAV=1, MCV=6, Best objective (cost, TW violation): [52040.294749967026, 80.67884903249228]
seed=9, UAV=1, MCV=7, Best objective (cost, TW violation): [58839.05738141403, 70.36524723871753]
seed=9, UAV=2, MCV=3, Best objective (cost, TW violation): [41599.43366012427, 82.48177366198004]
seed=9, UAV=2, MCV=4, Best objective (cost, TW violation): [45896.276763473, 68.05442021942636]
seed=9, UAV=2, MCV=5, Best objective (cost, TW violation): [47392.582855750064, 96.67537860319075]
seed=9, UAV=2, MCV=6, Best objective (cost, TW violation): [52040.294749967026, 80.67884903249228]
seed=9, UAV=2, MCV=7, Best objective (cost, TW violation): [58839.05738141403, 70.36524723871753]
seed=9, UAV=3, MCV=3, Best objective (cost, TW violation): [41599.43366012427, 82.48177366198004]
seed=9, UAV=3, MCV=4, Best objective (cost, TW violation): [45896.276763473, 68.05442021942636]
seed=9, UAV=3, MCV=5, Best objective (cost, TW violation): [47392.582855750064, 96.67537860319075]
seed=9, UAV=3, MCV=6, Best objective (cost, TW violation): [52040.294749967026, 80.67884903249228]
seed=9, UAV=3, MCV=7, Best objective (cost, TW violation): [58839.05738141403, 70.36524723871753]
