instance,seed,solution_id,cost,tw_violation
5,0,0,89607.93180960997,865.6627969921341
5,0,1,88175.5981565227,871.3621695021651
5,0,2,87819.77429947411,872.4287194946348
5,1,0,88069.03036057328,911.0341749819933
5,1,1,89410.41142779496,896.6313797463193
5,1,2,89492.85719729197,894.1433261269566
5,1,3,89240.69854660379,899.237120238368
5,1,4,90356.89106390155,891.2235513707877
5,2,0,86534.44588929384,816.3832078324748
5,2,1,86261.05167297581,824.4536845323615
5,3,0,89383.76757742067,855.5785028721488
5,3,1,87892.45366668417,856.2245417486913
5,3,2,88515.45615625929,855.7332681129411
5,4,0,88514.5318129113,919.9439149750201
5,4,1,88399.46927728783,923.7572568174485
5,4,2,88223.38421360709,925.6802568573739
5,4,3,89751.83067500836,919.9221531663593
5,5,0,80641.14893432075,827.5909584505011
5,5,1,80640.22076491785,837.2174205174665
5,5,2,82171.27837038593,816.784996136591
5,5,3,81791.02526479625,823.1734061220259
5,6,0,87856.14987288072,834.7010805438194
5,6,1,87703.90626603116,852.2709259715159
5,6,2,87804.02837842332,852.1222462411919
5,7,0,87681.71370799794,859.9103175311789
5,7,1,88362.28874836816,850.7885201011013
5,7,2,88717.89202989562,849.6907375308035
5,7,3,87766.2049144692,852.9315758299192
5,7,4,88031.48123491518,851.5849842347598
5,7,5,87590.67043719858,862.427181194753
5,7,6,88016.50974482832,852.1518901893685
5,7,7,87722.95394508271,854.6247176425306
5,7,8,87969.8523789029,852.4223543555845
5,8,0,84707.22143929862,934.0032729103797
5,8,1,83677.94176397577,936.1731763790783
5,8,2,84720.91496226224,931.5443767549826
5,8,3,83380.59480922189,940.1451885026986
5,8,4,83392.07649417121,939.3771451854589
5,8,5,84534.64647154365,936.0726425651284
5,8,6,82939.22057330646,940.2502136754755
5,9,0,90391.72652672854,876.8732929207541
5,10,0,85855.77421572074,883.1916893112884
5,10,1,86726.40783885798,876.341085735561
5,10,2,85603.95870043895,886.4529048108019
5,10,3,85398.69210385974,891.1629163363973
5,10,4,85932.16457987318,879.1936376454333
5,10,5,85661.67510805374,885.3863382451973
5,11,0,86751.3744421391,870.3465717402551
5,11,1,86887.93438000108,866.2618614347131
5,11,2,86859.62045616255,867.1715029042391
5,11,3,86844.55603719744,868.0120447676554
5,11,4,86781.84039349572,869.4530872949406
5,11,5,87712.27443742329,858.2463591431633
5,11,6,87151.67925806064,858.2949717425043
5,12,0,84983.74020684576,903.4013032229827
5,12,1,84887.06411942096,907.5819963622316
5,12,2,84720.9304673951,909.3479427372215
5,12,3,85273.84691956444,901.1000816910013
5,13,0,88326.56473144691,923.6854081740855
5,13,1,86999.40857909023,928.8395605353405
5,13,2,85263.94083520232,931.0924243788363
5,13,3,85822.33954868987,930.4102783550242
5,13,4,87572.8725184673,924.4305459298714
5,13,5,85051.55066111177,933.370376926066
5,14,0,82963.39505394138,879.7473191726627
5,14,1,82277.28106106399,881.5124658676297
5,15,0,84162.56714324263,880.9630803476953
5,15,1,83642.34675407133,890.7390741447405
5,15,2,83755.36679263721,882.2047927807781
5,15,3,84276.32437194753,876.4803712623566
5,15,4,83989.74412831666,881.0919947646239
5,16,0,92539.79833372778,871.7851039801617
5,16,1,92427.84975718573,873.4142915426684
5,17,0,89738.80202777224,892.628699696246
5,17,1,89158.10700477764,899.3427747767095
5,17,2,89269.44073588285,892.9795542556108
5,17,3,90018.44187302726,890.9679254284124
5,18,0,88540.53678224434,801.8750781992408
5,18,1,88540.53678224434,801.8750781992408
5,18,2,88443.56681839866,804.7766037787366
5,18,3,88967.57882212574,799.6493163639009
5,18,4,89808.78495452905,799.2008145559919
5,18,5,88658.8016586956,801.7587874929673
5,19,0,87069.66049656142,884.0447229163408
5,19,1,86889.70246287952,887.8188655452853
5,20,0,85501.18700188462,896.4695480734603
5,20,1,85121.79510800155,897.9644455366024
5,20,2,84860.88865661161,915.0808692529375
5,20,3,84912.88735160408,911.1447395239906
